property_type,num_beds,size_sqft,floor_level,furnishing,lat,lng,subzone,planning_area,price,years_left,dist_from_changi_airport,dist_from_cbd,dist_from_nearest_mall,dist_from_nearest_sschool,dist_from_nearest_pschool,dist_from_nearest_comm,dist_from_nearest_mrt
hdb,4,1270,unknown,unspecified,1.35451645,103.96138214424742,tampines east,tampines,661500.0,73,3.03,14.51,1.42,0.27,0.19,1.47,0.77
condo,2,657,unknown,unspecified,1.3765249,103.7573796,gombak,bukit batok,892500.0,102,25.8,14.64,0.53,0.75,0.66,4.39,0.54
landed,5,4350,unknown,unspecified,1.3444213,103.8376946,upper thomson,bishan,12075000.0,977,16.84,6.86,1.36,0.65,0.47,1.37,0.51
condo,3,1453,unknown,unspecified,1.31525305,103.80335348540277,farrer court,bukit timah,2887500.0,92,21.13,6.38,1.03,0.93,0.82,1.77,0.51
hdb,3,1130,unknown,unspecified,1.3359166999999998,103.9369443776042,bedok reservoir,bedok,648900.0,77,6.21,11.11,1.36,0.24,0.41,2.12,0.53
landed,5,5230,unknown,unspecified,1.4405369,103.82607667170107,sembawang springs,sembawang,6667500.0,979,20.27,17.55,0.19,0.66,0.78,3.61,0.49
hdb,3,1001,unknown,unspecified,1.4471173,103.8141757373453,sembawang central,sembawang,609000.0,95,21.78,18.52,0.6,0.32,0.44,2.11,0.69
landed,5,5000,unknown,unspecified,1.3870489,103.872999,seletar hills,serangoon,7119000.0,990,13.26,11.65,0.4,0.71,0.35,1.43,2.29
condo,4,1313,unknown,unspecified,1.3136277,103.8831086,aljunied,geylang,2274800.0,1002,12.69,4.82,1.15,0.55,0.54,1.26,0.31
hdb,3,1119,unknown,unspecified,1.3499487,103.94994605,tampines east,tampines,617400.0,61,4.37,13.17,0.65,0.55,0.13,0.64,0.84
condo,3,936,unknown,unspecified,1.310429,103.80282102340084,leedon park,bukit timah,2310000.0,1002,21.31,6.16,0.84,0.88,1.22,1.48,0.74
condo,2,689,unknown,unfurnished,1.3252767,103.9326308,bedok north,bedok,1375500.0,104,7.17,10.12,0.35,0.74,0.54,3.39,1.25
condo,5,1819,penthouse,unspecified,1.27568865,103.83822499656318,everton park,bukit merah,6161400.0,1000,19.01,1.73,0.86,1.18,0.19,2.19,0.54
hdb,3,1130,unknown,unspecified,1.37112775,103.95807671272708,pasir ris drive,pasir ris,575400.0,66,3.7,15.29,0.79,0.26,0.21,2.27,1.0
hdb,3,1313,unknown,unspecified,1.34387085,103.7578477023541,bukit batok south,bukit batok,628800.0,74,25.71,12.35,1.18,0.66,0.23,2.11,1.08
condo,2,753,unknown,unspecified,1.29773195,103.8559134735316,bugis,downtown core,2288000.0,101,16.17,1.6,0.06,0.82,0.46,0.65,0.3
condo,4,1399,unknown,unspecified,1.316643,103.85763,lavender,kallang,3272800.0,1000,15.25,3.68,0.61,0.92,0.58,1.63,0.5
hdb,2,893,unknown,unspecified,1.32691215,103.85649051769732,balestier,novena,974400.0,49,15.07,4.79,1.05,0.52,0.57,1.11,0.99
condo,3,926,high,fully,1.39734855,103.89235330638869,anchorvale,sengkang,1076200.0,100,11.57,13.34,0.66,0.87,0.39,2.65,0.72
condo,3,1281,unknown,unspecified,1.31730585,103.83260746060152,nassim,tanglin,3922700.0,1002,17.91,4.25,1.13,0.47,0.32,1.24,0.79
condo,3,904,unknown,unspecified,1.29841635,103.85717773862802,bugis,downtown core,2516800.0,101,16.01,1.72,0.17,0.95,0.6,0.81,0.28
hdb,4,1313,unknown,unspecified,1.3766151999999998,103.94052928851568,pasir ris west,pasir ris,724500.0,72,5.74,14.26,0.27,1.37,0.6,1.16,1.05
condo,1,527,unknown,partial,1.30397875,103.82269161887947,chatsworth,tanglin,1541400.0,1001,19.38,3.89,0.16,1.25,1.41,2.74,0.22
landed,6,7015,unknown,partial,1.3171727,103.922284,frankel,bedok,8998500.0,991,8.61,8.7,1.15,1.07,0.32,3.21,1.12
hdb,3,1001,high,unspecified,1.3349051,103.87943952124174,joo seng,toa payoh,798000.0,94,12.39,6.44,1.28,0.58,0.45,1.97,0.84
condo,3,958,unknown,unspecified,1.44002835,103.82774103667388,sembawang springs,sembawang,1459500.0,103,20.08,17.46,0.37,0.51,0.88,3.8,0.4
condo,3,1184,unknown,unspecified,1.4243288500000002,103.84822482554188,yishun east,yishun,1257900.0,91,17.27,15.53,1.03,0.51,0.38,2.64,1.58
condo,4,2368,unknown,unspecified,1.3101838,103.8359137,newton circus,newton,10963400.0,1002,17.77,3.38,0.42,1.06,0.95,1.37,0.33
condo,2,764,unknown,unspecified,1.39704825,103.89393329199906,anchorvale,sengkang,1155000.0,94,11.39,13.37,0.57,0.69,0.52,2.53,0.62
condo,2,667,unknown,partial,1.3123637,103.80327091227252,farrer court,bukit timah,1772400.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
condo,3,1076,unknown,partial,1.3113226999999998,103.85247580094573,kampong java,kallang,2415000.0,103,15.97,3.03,0.4,1.36,0.21,1.39,0.32
landed,5,4925,unknown,unspecified,1.3307918,103.7577266,toh tuck,clementi,6016500.0,990,25.85,11.65,1.29,1.74,1.26,1.19,1.74
hdb,3,1140,unknown,unspecified,1.2777916500000002,103.84140360852476,chinatown,outram,1260000.0,88,18.59,1.31,0.5,1.05,0.28,1.77,0.31
condo,5,5985,low,unspecified,1.3178998,103.8258621,nassim,tanglin,14184200.0,990,18.62,4.71,1.31,0.52,1.03,1.97,0.24
condo,1,560,unknown,unfurnished,1.3027702,103.8694351,tanjong rhu,kallang,1761900.0,100,14.57,2.89,0.38,1.45,1.36,2.25,0.66
condo,2,710,unknown,partial,1.30397875,103.82269161887947,chatsworth,tanglin,1937000.0,1001,19.38,3.89,0.16,1.25,1.41,2.74,0.22
hdb,2,796,unknown,unspecified,1.3533064,103.951144,tampines east,tampines,472500.0,61,4.18,13.49,0.68,0.33,0.23,0.66,0.5
hdb,3,969,unknown,unspecified,1.4472891,103.7708303,north coast,woodlands,525000.0,81,26.17,20.17,1.83,1.24,1.48,2.1,1.66
hdb,4,1270,unknown,unspecified,1.3416378,103.70553212628354,jurong west central,jurong west,735000.0,75,31.54,17.45,0.24,0.45,0.77,1.75,0.34
condo,5,1884,unknown,unfurnished,1.3393381,103.7638932,bukit batok south,bukit batok,4438400.0,1001,25.07,11.51,1.4,1.48,0.39,2.23,1.33
hdb,2,645,mid,unfurnished,1.3048464,103.8625836,crawford,kallang,446200.0,59,15.17,2.62,0.26,1.65,0.6,1.67,0.28
landed,5,6437,unknown,unspecified,1.3726929499999998,103.7699175716839,dairy farm,bukit panjang,9816300.0,979,24.38,13.37,0.98,0.52,0.1,5.17,0.69
hdb,3,1001,high,partial,1.31507315,103.86063151014405,bendemeer,kallang,984900.0,94,14.98,3.59,0.62,1.04,0.83,1.99,0.3
condo,1,549,unknown,unspecified,1.3138,103.80641,tyersall,tanglin,1470000.0,94,20.83,6.0,1.28,0.81,0.8,1.99,0.42
hdb,3,990,unknown,unspecified,1.37365485,103.85697538402584,cheng san,ang mo kio,521800.0,58,14.74,9.94,1.04,0.62,0.16,2.26,0.92
landed,5,3966,unknown,unspecified,1.3555426,103.8802545,lorong ah soo,hougang,5019000.0,985,12.05,8.54,0.26,0.86,0.81,1.0,0.74
condo,4,1195,unknown,unspecified,1.3136277,103.8831086,aljunied,geylang,2082900.0,1002,12.69,4.82,1.15,0.55,0.54,1.26,0.31
condo,3,1421,unknown,unspecified,1.2739587,103.84363531310518,anson,downtown core,3514400.0,103,18.58,1.41,0.43,1.54,0.46,1.86,0.37
condo,3,1603,unknown,unspecified,1.2915065499999998,103.83670439151769,robertson quay,singapore river,4376200.0,986,18.4,1.84,0.57,0.58,1.41,1.6,0.86
hdb,3,1291,unknown,unspecified,1.3620961,103.7444601867664,hong kah north,bukit batok,564900.0,64,27.16,14.71,1.43,0.16,0.51,3.29,0.9
condo,4,1367,unknown,unspecified,1.39490445,103.87994825262744,fernvale,sengkang,1837500.0,93,12.76,12.67,0.55,0.49,0.61,2.02,1.77
condo,2,752,unknown,unspecified,1.4275711,103.78575216457712,woodgrove,woodlands,924000.0,91,23.85,17.49,0.84,0.39,0.59,1.02,0.84
landed,7,7900,unknown,unspecified,1.34166185,103.7808309432764,swiss club,bukit timah,12264000.0,48,23.17,10.13,0.43,2.68,0.65,4.02,0.57
condo,3,936,unknown,unspecified,1.310429,103.80282102340084,leedon park,bukit timah,2520300.0,1002,21.31,6.16,0.84,0.88,1.22,1.48,0.74
condo,4,1281,unknown,unspecified,1.3443339,103.8786904,upper paya lebar,serangoon,2733200.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
hdb,3,1022,high,partial,1.3175466999999998,103.89851880043382,geylang east,geylang,892500.0,88,10.94,6.42,0.52,1.03,0.75,0.56,0.58
hdb,3,1011,unknown,unspecified,1.4501476,103.8157699,sembawang central,sembawang,545000.0,78,21.78,18.8,0.47,0.43,0.08,2.09,0.49
condo,4,1345,unknown,partial,1.3087662,103.8090654,ridout,tanglin,3990000.0,1000,20.68,5.46,1.55,1.08,1.34,2.13,0.98
hdb,5,1905,high,unspecified,1.4290407,103.7720746,woodgrove,woodlands,1155000.0,72,25.35,18.32,1.0,0.61,0.58,1.82,0.44
hdb,3,1205,unknown,unspecified,1.3580925,103.84217392551992,marymount,bishan,630000.0,69,16.28,8.27,1.11,0.27,1.26,1.05,1.08
hdb,3,1001,unknown,unspecified,1.2766663,103.80704638711627,telok blangah drive,bukit merah,1143300.0,94,22.08,5.01,0.69,1.22,0.2,1.23,0.62
condo,4,1185,unknown,partial,1.4170170999999998,103.84503465472268,lower seletar,yishun,1604400.0,94,17.26,14.73,0.44,0.47,0.68,2.57,1.34
hdb,3,1119,unknown,unspecified,1.32616425,103.90216178147097,kampong ubi,geylang,556500.0,63,10.21,7.32,1.19,0.16,0.28,1.31,0.53
hdb,4,1825,unknown,unspecified,1.4377016,103.77733635,woodlands west,woodlands,934500.0,72,25.11,18.9,0.55,0.16,0.59,1.02,0.68
hdb,3,990,unknown,unspecified,1.3984628,103.9190743,waterway east,punggol,609000.0,86,8.95,14.73,0.8,0.83,0.11,1.64,2.07
condo,5,1679,unknown,unspecified,1.36679605,103.8865753660334,kovan,hougang,2536300.0,100,11.39,9.96,0.82,0.76,0.63,1.57,0.75
landed,7,4350,unknown,unspecified,1.3444213,103.8376946,upper thomson,bishan,11340000.0,977,16.84,6.86,1.36,0.65,0.47,1.37,0.51
condo,3,797,unknown,unfurnished,1.3086965,103.8981317,katong,marine parade,1827000.0,1002,11.41,5.87,0.63,0.1,0.45,1.17,1.01
condo,4,1259,mid,unspecified,1.330403,103.7949393,holland road,bukit timah,3879300.0,998,21.75,8.12,0.88,0.84,1.26,2.7,0.22
hdb,3,969,high,unspecified,1.3120277,103.85167627533578,kampong java,kallang,829500.0,81,16.03,3.11,0.52,1.41,0.09,1.28,0.36
condo,3,1098,unknown,unfurnished,1.3131859,103.8996932,geylang east,geylang,2278600.0,1002,11.03,6.27,0.58,0.6,0.35,0.88,0.83
condo,3,786,high,partial,1.4350322,103.84433307382491,yishun east,yishun,1050000.0,96,18.18,16.73,1.17,0.41,0.69,3.78,1.21
hdb,3,1076,unknown,unspecified,1.3402661,103.69576086640916,jurong west central,jurong west,575400.0,75,32.63,18.41,0.22,0.71,0.38,1.44,0.34
condo,3,990,unknown,unspecified,1.330403,103.7949393,holland road,bukit timah,2845500.0,998,21.75,8.12,0.88,0.84,1.26,2.7,0.22
condo,4,1302,ground,unspecified,1.44002835,103.82774103667388,sembawang springs,sembawang,1953000.0,103,20.08,17.46,0.37,0.51,0.88,3.8,0.4
condo,2,678,unknown,partial,1.3526158,103.85088456895812,bishan east,bishan,1344000.0,93,15.32,7.59,0.33,0.47,0.59,0.35,0.24
hdb,4,1248,unknown,unspecified,1.2810166,103.80929125585544,depot road,bukit merah,766500.0,77,21.66,4.7,0.83,0.68,0.51,0.9,1.14
landed,5,7000,unknown,unspecified,1.46136225,103.83614823161346,sembawang straits,sembawang,6594000.0,984,20.47,19.69,2.11,2.58,1.84,4.14,2.15
hdb,3,1076,unknown,unspecified,1.3716072499999998,103.87540214808246,serangoon north,serangoon,617400.0,74,12.68,10.05,0.64,0.26,0.19,2.28,1.66
hdb,3,1216,unknown,unspecified,1.4241899,103.8449321,yishun east,yishun,724500.0,94,17.59,15.53,0.77,0.32,0.3,2.93,1.25
condo,3,936,unknown,unspecified,1.445516,103.82705855838422,sembawang springs,sembawang,1344000.0,94,20.43,18.07,0.47,1.09,0.69,3.44,0.4
hdb,3,1184,unknown,unspecified,1.3877522,103.7694179,saujana,bukit panjang,617400.0,79,24.61,14.67,0.45,0.5,0.28,3.65,1.29
condo,2,678,high,unspecified,1.29436855,103.8284376,chatsworth,tanglin,1669500.0,991,19.13,2.81,0.41,0.72,0.59,2.44,0.92
condo,3,968,unknown,unspecified,1.4349279,103.8452818,yishun east,yishun,1197000.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
condo,1,527,ground,partial,1.35258045,103.83922542690792,upper thomson,bishan,1037400.0,100,16.62,7.71,0.96,0.5,1.3,1.02,0.43
condo,3,1152,unknown,unspecified,1.3306509,103.7670572,sunset way,clementi,2368800.0,1001,24.82,10.72,1.54,1.75,0.76,2.21,1.49
condo,2,947,unknown,unspecified,1.3128118,103.93903292138398,bayshore,bedok,1154000.0,73,7.4,10.26,1.72,0.82,0.91,3.81,1.79
condo,2,635,unknown,unspecified,1.3443339,103.8786904,upper paya lebar,serangoon,1567600.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,2,657,unknown,unspecified,1.3156128,103.8454853,moulmein,novena,1785000.0,999,16.57,3.57,0.28,1.15,0.22,0.54,0.56
hdb,3,893,high,partial,1.28163205,103.84231222587113,chinatown,outram,1050000.0,58,18.3,1.05,0.31,0.77,0.7,1.47,0.29
hdb,3,1044,unknown,unspecified,1.31088855,103.7696620501535,clementi woods,clementi,588000.0,55,24.89,9.58,0.53,0.26,0.63,1.6,0.68
hdb,3,1377,unknown,unspecified,1.36781235,103.95821899168908,pasir ris drive,pasir ris,701400.0,66,3.55,15.07,0.72,0.17,0.4,2.17,1.15
condo,3,1862,unknown,partial,1.30348325,103.82468956573264,tanglin,orchard,7039200.0,994,19.18,3.68,0.17,1.34,1.35,2.77,0.15
hdb,3,1399,unknown,unspecified,1.3872543,103.7597827,senja,bukit panjang,848400.0,78,25.66,15.32,0.74,0.11,0.42,3.28,0.86
hdb,3,1184,unknown,unspecified,1.3955935,103.8990262464462,sengkang town centre,sengkang,630000.0,79,10.81,13.43,0.6,0.17,0.17,2.24,0.58
hdb,3,1313,unknown,unfurnished,1.37640055,103.77489833847288,bangkit,bukit panjang,586800.0,65,23.86,13.31,0.9,0.69,0.67,5.04,1.37
condo,3,1076,unknown,unspecified,1.26522915,103.81751884226044,maritime square,bukit merah,2815000.0,102,21.59,4.31,0.29,1.4,1.3,2.86,0.45
condo,3,1076,mid,unspecified,1.4349279,103.8452818,yishun east,yishun,1398400.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
condo,1,452,unknown,partial,1.37998675,103.96270907169402,pasir ris park,pasir ris,656200.0,935,3.79,16.31,0.94,0.87,0.87,1.36,1.68
hdb,3,1302,unknown,unspecified,1.31947695,103.88276969928656,aljunied,geylang,795900.0,56,12.49,5.25,1.1,0.1,0.19,1.2,0.34
hdb,2,721,unknown,unfurnished,1.32829915,103.8613772552474,balestier,novena,586800.0,93,14.51,5.03,0.86,0.43,0.56,1.54,0.93
condo,2,710,unknown,unspecified,1.3159484,103.8575892,lavender,kallang,1361800.0,1003,15.28,3.61,0.53,1.0,0.66,1.64,0.44
condo,3,936,unknown,unspecified,1.3306509,103.7670572,sunset way,clementi,1870000.0,1001,24.82,10.72,1.54,1.75,0.76,2.21,1.49
hdb,3,1001,unknown,unspecified,1.44761315,103.83352025714105,sembawang east,sembawang,575400.0,93,19.91,18.21,0.59,1.33,1.17,4.03,0.66
condo,3,1012,unknown,partial,1.3765249,103.7573796,gombak,bukit batok,1575000.0,102,25.8,14.64,0.53,0.75,0.66,4.39,0.54
hdb,3,968,unknown,unspecified,1.3410727,103.69975192335232,jurong west central,jurong west,491400.0,77,32.18,18.03,0.3,0.28,0.21,1.46,0.47
condo,3,1475,unknown,unspecified,1.3102151,103.8986321,geylang east,geylang,3150000.0,979,11.29,6.0,0.67,0.25,0.5,1.05,1.05
landed,6,3863,unknown,unspecified,1.4283557,103.7804964,woodgrove,woodlands,2940000.0,75,24.43,17.82,0.57,0.44,0.36,1.14,0.85
hdb,3,1033,unknown,fully,1.31027885,103.77076171925694,clementi woods,clementi,912300.0,90,24.79,9.44,0.67,0.27,0.74,1.46,0.82
condo,1,463,unknown,partial,1.3176791,103.82871568958832,nassim,tanglin,1344000.0,992,18.32,4.51,1.22,0.43,0.72,1.65,0.4
condo,3,1259,unknown,unspecified,1.2915415,103.84517442690934,clarke quay,singapore river,3771600.0,103,17.54,1.09,0.3,0.97,0.97,0.76,0.14
hdb,3,1033,unknown,unspecified,1.39233145,103.87696169399544,fernvale,sengkang,630000.0,87,12.99,12.32,0.12,0.21,0.25,1.68,2.06
hdb,3,1119,high,fully,1.3850886,103.74092066788272,peng siang,choa chu kang,514500.0,70,27.72,16.63,0.46,0.44,0.74,3.63,0.39
condo,2,560,mid,unspecified,1.3442122,103.87315338580112,upper paya lebar,serangoon,1029000.0,993,12.92,7.09,0.7,0.45,0.59,0.78,0.61
hdb,3,1205,unknown,unspecified,1.4023268,103.89577065,matilda,punggol,648900.0,94,11.44,13.99,0.85,0.54,0.31,2.03,1.18
condo,3,1399,low,partial,1.29932595,103.83319668704708,leonie hill,river valley,4357500.0,91,18.44,2.65,0.39,1.48,1.35,1.94,0.66
landed,5,3090,unknown,partial,1.3287735,103.80561531355102,hillcrest,bukit timah,4179000.0,86,20.6,7.11,1.71,0.25,0.17,3.01,0.28
condo,2,872,unknown,unspecified,1.3306509,103.7670572,sunset way,clementi,1648500.0,1001,24.82,10.72,1.54,1.75,0.76,2.21,1.49
condo,3,1119,unknown,unfurnished,1.3271094,103.7964042,coronation road,bukit timah,2940300.0,99,21.64,7.77,1.27,0.79,1.15,2.39,0.42
condo,1,517,unknown,unspecified,1.3659704499999998,103.87028671064984,serangoon garden,serangoon,965000.0,98,13.19,9.31,0.57,0.43,0.67,1.64,1.71
condo,3,1313,unknown,unspecified,1.35112195,103.69668831773896,yunnan,jurong west,1260000.0,77,32.48,18.76,0.23,0.63,0.32,0.31,1.5
hdb,4,1356,unknown,unspecified,1.395536,103.8876106,anchorvale,sengkang,813800.0,80,11.98,12.98,0.9,0.7,0.25,2.75,0.97
hdb,4,1399,unknown,unspecified,1.3870021,103.76340787293424,saujana,bukit panjang,787500.0,78,25.26,15.03,0.36,0.35,0.42,3.43,0.86
hdb,3,1001,unknown,unspecified,1.30889935,103.7836396897501,ghim moh,queenstown,932400.0,94,23.42,8.04,0.58,0.75,0.9,0.76,0.62
hdb,3,1290,unknown,unspecified,1.30481515,103.91860152876517,marine parade,marine parade,819000.0,52,9.72,7.82,1.51,0.26,0.11,3.16,1.9
landed,5,6000,unknown,unspecified,1.2481118,103.8406065,sentosa,southern islands,22890000.0,91,20.43,4.14,2.66,3.75,3.06,4.55,2.86
hdb,3,1109,unknown,unspecified,1.33169695,103.85783953777464,kim keat,toa payoh,651000.0,65,14.82,5.33,1.04,0.85,0.66,1.07,1.16
condo,3,1249,unknown,unspecified,1.3157947,103.8320962933791,nassim,tanglin,3779000.0,999,18.01,4.13,0.97,0.62,0.47,1.34,0.76
hdb,3,1011,unknown,unspecified,1.39160995,103.88052844816504,fernvale,sengkang,672000.0,95,12.59,12.34,0.49,0.28,0.65,2.08,1.66
condo,3,915,high,unspecified,1.3521534,103.92794202848162,tampines west,tampines,1260000.0,95,6.76,11.37,1.39,0.33,0.94,1.92,1.38
condo,3,1324,unknown,partial,1.3321733999999998,103.72419457835264,taman jurong,jurong west,1428000.0,93,29.54,15.13,0.54,0.21,0.97,1.17,1.38
condo,2,797,unknown,unspecified,1.319516,103.88097373944026,aljunied,geylang,1281000.0,94,12.68,5.13,1.3,0.25,0.37,1.4,0.4
hdb,2,786,unknown,unspecified,1.3760309,103.7710916,bangkit,bukit panjang,399000.0,65,24.28,13.55,0.83,0.78,0.34,4.88,1.01
condo,2,829,unknown,unspecified,1.39763685,103.9176573728072,waterway east,punggol,1047900.0,91,9.04,14.57,0.65,0.67,0.19,1.65,2.09
landed,4,5990,unknown,partial,1.3804543,103.9458545,pasir ris west,pasir ris,6384000.0,851,5.38,14.98,0.48,1.21,1.29,1.65,0.9
condo,3,958,unknown,unspecified,1.33869315,103.87174954613296,bidadari,toa payoh,1998200.0,101,13.16,6.46,0.87,0.57,0.54,1.39,0.12
condo,4,2368,unknown,unspecified,1.3101838,103.8359137,newton circus,newton,6195000.0,1002,17.77,3.38,0.42,1.06,0.95,1.37,0.33
condo,2,657,unknown,unspecified,1.304855,103.77377633404797,dover,queenstown,1633800.0,100,24.59,8.95,0.87,0.56,1.39,0.84,0.9
hdb,3,1108,low,partial,1.4292403,103.849496,yishun east,yishun,491400.0,65,17.38,16.07,1.48,1.03,0.19,2.92,1.61
